Day,Month,Year,Hour,Minute,Second,LON,LAT,DISTANCE_KM,SIGNAL,MULTIPLICITY,AXIS,ECCENTRICITY,ELLIPSE,CHISQR
2,7,2020,20,4,28.991051,-114.482,40.391,223.1867,-23.0,0,0,0,-115,0
2,7,2020,20,4,28.991051,-114.482,40.391,223.1867,-23.0,0,0,0,-115,0
2,7,2020,20,4,29.053096,-114.482,40.391,223.1867,-25.0,0,0,0,-117,0
2,7,2020,20,4,29.053096,-114.482,40.391,223.1867,-25.0,0,0,0,-117,0
2,7,2020,20,4,29.070799,-114.482,40.391,223.1867,-5.0,0,0,0,-98,0
2,7,2020,20,4,29.070799,-114.482,40.391,223.1867,-5.0,0,0,0,-98,0
2,7,2020,20,4,29.100392,-114.482,40.39,223.2088,-17.0,0,0,0,126,0
2,7,2020,20,4,29.100392,-114.482,40.39,223.2088,-17.0,0,0,0,126,0
2,7,2020,20,4,29.182549,-114.481,40.391,223.1035,-21.0,0,0,0,113,0
2,7,2020,20,4,29.182549,-114.481,40.391,223.1035,-21.0,0,0,0,113,0
2,7,2020,20,4,29.318703,-114.482,40.391,223.1867,-9.0,0,0,0,-107,0
2,7,2020,20,4,29.318703,-114.482,40.391,223.1867,-9.0,0,0,0,-107,0
2,7,2020,20,4,29.345116,-114.482,40.391,223.1867,-5.0,0,0,0,-109,0
2,7,2020,20,4,29.345116,-114.482,40.391,223.1867,-5.0,0,0,0,-109,0
2,7,2020,22,30,45.0332,-113.535,41.903,187.1601,-22.0,0,0,0,-117,0
2,7,2020,22,30,45.0332,-113.535,41.903,187.1601,-22.0,0,0,0,-117,0
2,7,2020,22,30,45.090426,-113.536,41.924,188.7935,-16.0,0,0,0,-116,0
2,7,2020,22,30,45.090426,-113.536,41.924,188.7935,-16.0,0,0,0,-116,0
2,7,2020,22,30,45.117983,-113.535,41.925,188.8077,-5.0,0,0,0,13,0
2,7,2020,22,30,45.117983,-113.535,41.925,188.8077,-5.0,0,0,0,13,0
3,7,2020,11,49,33.483828,-111.427,39.095,189.1635,-11.0,0,0,8,17,0
3,7,2020,11,49,33.483828,-111.427,39.095,189.1635,-11.0,0,0,8,17,0
3,7,2020,11,58,22.175495,-111.316,39.521,146.1237,-20.0,0,0,0,15,0
3,7,2020,11,58,22.175495,-111.316,39.521,146.1237,-20.0,0,0,0,15,0
3,7,2020,12,3,5.086904,-111.438,39.338,162.6411,-17.0,0,0,0,72,0
3,7,2020,12,3,5.086904,-111.438,39.338,162.6411,-17.0,0,0,0,72,0
3,7,2020,12,23,15.899434,-111.205,39.571,144.459,-20.0,0,0,0,55,0
3,7,2020,12,23,15.899434,-111.205,39.571,144.459,-20.0,0,0,0,55,0
3,7,2020,12,23,15.967269,-111.206,39.572,144.3229,-9.0,0,0,0,91,0
3,7,2020,12,23,15.967269,-111.206,39.572,144.3229,-9.0,0,0,0,91,0
3,7,2020,12,23,16.099166,-111.206,39.571,144.4246,-8.0,0,0,0,65,0
3,7,2020,12,23,16.099166,-111.206,39.571,144.4246,-8.0,0,0,0,65,0
3,7,2020,12,23,16.115188,-111.205,39.571,144.459,-14.0,0,0,0,-79,0
3,7,2020,12,23,16.115188,-111.205,39.571,144.459,-14.0,0,0,0,-79,0
3,7,2020,12,23,16.136971,-111.204,39.571,144.4935,-19.0,0,0,0,42,0
3,7,2020,12,23,16.136971,-111.204,39.571,144.4935,-19.0,0,0,0,42,0
3,7,2020,12,23,16.186156,-111.205,39.571,144.459,-26.0,0,0,0,32,0
3,7,2020,12,23,16.186156,-111.205,39.571,144.459,-26.0,0,0,0,32,0
3,7,2020,12,23,16.218822,-111.205,39.57,144.5607,-9.0,0,0,0,-94,0
3,7,2020,12,23,16.218822,-111.205,39.57,144.5607,-9.0,0,0,0,-94,0
3,7,2020,12,25,1.586232,-111.185,39.585,143.7407,-17.0,0,0,0,65,0
3,7,2020,12,25,1.586232,-111.185,39.585,143.7407,-17.0,0,0,0,65,0
3,7,2020,12,33,46.433512,-111.086,39.588,147.1717,-14.0,0,0,0,39,1
3,7,2020,12,33,46.433512,-111.086,39.588,147.1717,-14.0,0,0,0,39,1
3,7,2020,12,35,28.587896,-111.09,39.601,145.7333,-17.0,0,0,0,60,0
3,7,2020,12,35,28.587896,-111.09,39.601,145.7333,-17.0,0,0,0,60,0
3,7,2020,12,36,30.876206,-111.104,39.619,143.4051,-22.0,0,0,0,50,0
3,7,2020,12,36,30.876206,-111.104,39.619,143.4051,-22.0,0,0,0,50,0
3,7,2020,12,37,42.166626,-111.17,39.572,145.5897,-11.0,0,0,0,93,0
3,7,2020,12,37,42.166626,-111.17,39.572,145.5897,-11.0,0,0,0,93,0
3,7,2020,12,46,14.426381,-111.162,39.63,140.0667,-57.0,0,0,0,59,0
3,7,2020,12,46,14.426381,-111.162,39.63,140.0667,-57.0,0,0,0,59,0
3,7,2020,12,46,14.434941,-111.166,39.627,140.2157,-7.0,0,0,0,53,0
3,7,2020,12,46,14.434941,-111.166,39.627,140.2157,-7.0,0,0,0,53,0
3,7,2020,12,46,14.446068,-111.164,39.631,139.8915,-8.0,0,0,0,125,0
3,7,2020,12,46,14.446068,-111.164,39.631,139.8915,-8.0,0,0,0,125,0
3,7,2020,12,46,14.458893,-111.163,39.63,140.029,-11.0,0,0,0,84,0
3,7,2020,12,46,14.458893,-111.163,39.63,140.029,-11.0,0,0,0,84,0
3,7,2020,12,46,14.472107,-111.162,39.631,139.967,-9.0,0,0,0,107,0
3,7,2020,12,46,14.472107,-111.162,39.631,139.967,-9.0,0,0,0,107,0
3,7,2020,12,57,11.550146,-111.188,39.491,153.1981,-11.0,0,0,0,52,0
3,7,2020,12,57,11.550146,-111.188,39.491,153.1981,-11.0,0,0,0,52,0
3,7,2020,12,58,16.217713,-111.191,39.489,153.3031,-28.0,0,0,0,31,0
3,7,2020,12,58,16.217713,-111.191,39.489,153.3031,-28.0,0,0,0,31,0
3,7,2020,12,58,16.235271,-111.19,39.489,153.3363,-7.0,0,0,0,49,0
3,7,2020,12,58,16.235271,-111.19,39.489,153.3363,-7.0,0,0,0,49,0
